acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist
0.977,0.0819,261515,0.141,0.759,0,0.078,-14.286,0,0.0378,74.235,4,0.0365,1,The Tale of a Cruel World,DM DOKURO
0.00432,0.55,274655,0.885,0.664,10,0.134,-6.696,0,0.0516,95.003,4,0.124,1,Guardian of the Former Seas,DM DOKURO
8.36e-05,0.589,274602,0.98,0.894,1,0.373,-6.131,0,0.134,152.017,4,0.808,1,Infestation,DM DOKURO
7.28e-06,0.504,304826,0.985,0.843,1,0.199,-4.791,0,0.0956,125.989,3,0.286,1,Blood Coagulant,DM DOKURO
0.000293,0.488,257623,0.986,0.903,8,0.457,-3.927,1,0.132,110.962,5,0.305,1,The Filthy Mind,DM DOKURO
1.95e-05,0.395,294194,0.964,0.289,10,0.0839,-3.6,0,0.0882,87.029,4,0.329,1,Return To Slime,DM DOKURO
0.00443,0.475,274315,0.937,0.377,1,0.245,-4.396,0,0.108,180.043,4,0.554,1,Antarctic Reinforcement,DM DOKURO
0.000524,0.387,314596,0.888,0.944,5,0.151,-4.121,0,0.0325,165.001,5,0.162,1,Left Alone,DM DOKURO
0.0076,0.452,379954,0.842,0.876,11,0.174,-6.396,0,0.03,95.011,4,0.187,1,Outcast of the Sulphurous Seas,DM DOKURO
0.000651,0.355,540059,0.928,0.665,2,0.196,-4.296,0,0.0551,174.038,4,0.184,1,"Raw, Unfiltered Calamity",DM DOKURO
0.493,0.225,216287,0.172,0.931,0,0.111,-12.951,1,0.0356,84.207,4,0.0354,1,Silence before the storms,DM DOKURO
0.0175,0.382,563371,0.817,0.958,0,0.171,-6.16,1,0.0447,175.036,3,0.0982,1,The Leviathan Trilogy,DM DOKURO
0.00146,0.455,235210,0.996,0.903,11,0.557,-4.799,0,0.187,129.992,4,0.0667,1,Cosmic Disgust,DM DOKURO
3.21e-05,0.512,324750,0.925,0.875,1,0.299,-5.74,1,0.0403,111.028,4,0.134,1,Interstellar Stomper,DM DOKURO
2.74e-05,0.467,247200,0.997,0.906,11,0.283,-5.856,0,0.113,130.002,1,0.0642,1,Pest of the Cosmos,DM DOKURO
0.000252,0.367,279722,0.955,0.941,10,0.182,-4.902,0,0.461,179.853,5,0.409,1,Fly of Beelzebub,DM DOKURO
1.83e-06,0.44,300307,0.975,0.946,5,0.632,-3.072,0,0.0764,112.511,3,0.231,1,Open Frenzy,DM DOKURO
0.0219,0.102,192055,0.507,0.92,7,0.774,-9.162,0,0.0438,61.052,4,0.0376,1,Storms before the catastrophes,DM DOKURO
0.00703,0.265,247043,0.968,0.893,8,0.324,-3.241,1,0.405,179.995,4,0.613,1,Unholy Ambush,DM DOKURO
0.00358,0.266,318488,0.931,0.855,0,0.125,-2.74,0,0.136,180.072,4,0.267,1,Unholy Insurgency,DM DOKURO
4.01e-06,0.22,318566,0.96,0.741,2,0.152,-3.124,1,0.203,179.985,4,0.134,1,Feral Amalgamation,DM DOKURO
7.23e-05,0.131,236250,0.946,0.869,0,0.15,-6.397,1,0.177,170.634,4,0.293,1,Toxic Wisdom,DM DOKURO
1.52e-05,0.417,350044,0.906,0.901,1,0.325,-3.605,1,0.0407,94.992,4,0.0815,1,Servants of the Scourge,DM DOKURO
0.0225,0.474,458583,0.883,0.268,6,0.131,-4.585,0,0.0367,94.996,4,0.0772,1,Scourge of the Universe,DM DOKURO
0.000462,0.356,256552,0.983,0.955,11,0.186,-2.041,1,0.0868,100.191,4,0.21,1,Universal Collapse,DM DOKURO
3.82e-05,0.505,203210,0.906,0.824,5,0.324,-5.807,0,0.0426,104.953,1,0.454,1,Murderswarm,DM DOKURO
7.93e-06,0.427,480091,0.924,0.918,7,0.347,-4.711,1,0.0412,104.967,4,0.307,1,Infernal Catharsis (Rebirth),DM DOKURO
0.000105,0.446,504297,0.898,3.16e-06,6,0.417,-5.044,1,0.0386,125.0,4,0.393,1,Roar of the Jungle Dragon,DM DOKURO
0.251,0.282,313107,0.529,0.878,8,0.112,-9.761,1,0.0379,85.215,4,0.0663,1,The Step Below Hell,DM DOKURO
0.864,0.527,200833,0.455,0.818,10,0.123,-14.72,1,0.0393,130.026,4,0.0326,1,Heaven's Hell-Sent Gift,DM DOKURO
0.294,0.508,318375,0.357,0.837,4,0.122,-13.646,0,0.0359,66.678,4,0.0303,1,The Heaven-Sent Abomination,DM DOKURO
0.303,0.556,425125,0.716,0.86,7,0.127,-9.957,0,0.0351,122.985,4,0.0373,1,Treasures Within The Abomination,DM DOKURO
0.0786,0.685,381051,0.481,0.923,2,0.369,-12.46,1,0.0421,130.079,4,0.0603,1,wasteland,DM DOKURO
0.17,0.633,316875,0.589,0.886,5,0.104,-10.212,1,0.0309,105.99,4,0.058,1,sanctuary,DM DOKURO
0.0568,0.265,267680,0.664,0.851,11,0.423,-5.897,0,0.0496,176.094,4,0.0685,1,Hadopelagic Pressure,DM DOKURO
0.946,0.176,408062,0.167,0.959,4,0.109,-15.522,1,0.0347,81.785,4,0.0449,1,void,DM DOKURO
0.000269,0.313,240068,0.697,0.755,11,0.423,-6.27,0,0.0333,160.036,4,0.0601,1,Threats of the Ocean Floor,DM DOKURO
0.0101,0.149,297564,0.665,0.826,0,0.0851,-5.696,1,0.0333,179.255,4,0.0634,1,Catastrophes before the calamity,DM DOKURO
0.000486,0.341,733364,0.711,0.337,0,0.104,-6.445,1,0.0319,89.993,4,0.069,1,"Stained, Brutal Calamity",DM DOKURO
0.895,0.603,260500,0.157,0.895,3,0.134,-15.908,1,0.0391,123.976,4,0.107,1,Blessing of the Moon,DM DOKURO
5.72e-06,0.493,249637,0.954,0.702,1,0.13,-4.093,1,0.0371,99.966,4,0.0394,1,Guardian of the Former Seas - 8-bit Mix,DM DOKURO
3.21e-06,0.327,280297,0.994,0.923,5,0.327,-3.256,1,0.0931,159.969,4,0.0939,1,Open Frenzy - 16-bit Mix,DM DOKURO
0.25,0.606,269237,0.653,0.854,1,0.119,-10.299,0,0.0359,110.994,1,0.961,1,Antarctic Reinforcement - Structured Mix,DM DOKURO
